PeakID,Chr,Start,End,Strand,Peak Score,Focus Ratio/Region Size,Annotation,Detailed Annotation,Distance to TSS,Nearest PromoterID,Entrez ID,Nearest Unigene,Nearest Refseq,Nearest Ensembl,Gene Name,Gene Alias,Gene Description,Gene Type
chr3-4457,chr3,44997059,44997232,+,1,NA,"intron (NM_001135179: intron 2 of 6)","intron (NM_001135179: intron 2 of 6)",20528,NM_001135179,51304,Hs.61430,XM_005265209,,ZDHHC3,DHHC-3|GODZ|ZNF373,"zinc finger: DHHC-type containing 3",protein-coding
chr7-834,chr7,95430138,95430311,+,1,NA,"intron (NM_001135556: intron 1 of 16)","intron (NM_001135556: intron 1 of 16)",28407,NM_001135556,1780,Hs.440364,XM_005250186,ENSG00000158560,DYNC1I1,DNCI1|DNCIC1,"dynein: cytoplasmic 1: intermediate chain 1",protein-coding
chr6-1171,chr6,128820631,128820804,+,1,NA,"intron (NM_001135648: intron 1 of 30)","intron (NM_001135648: intron 1 of 30)",21101,NM_002844,5796,Hs.155919,XM_005267081,ENSG00000152894,PTPRK,R-PTP-kappa,"protein tyrosine phosphatase: receptor type: K",protein-coding
chr6-2865,chr6,128774720,128774893,+,1,NA,"intron (NM_001135648: intron 1 of 30)","intron (NM_001135648: intron 1 of 30)",67012,NM_002844,5796,Hs.155919,XM_005267081,ENSG00000152894,PTPRK,R-PTP-kappa,"protein tyrosine phosphatase: receptor type: K",protein-coding
chr6-89,chr6,128678644,128678817,+,1,NA,"intron (NM_001135648: intron 2 of 30)","intron (NM_001135648: intron 2 of 30)",163088,NM_002844,5796,Hs.155919,XM_005267081,ENSG00000152894,PTPRK,R-PTP-kappa,"protein tyrosine phosphatase: receptor type: K",protein-coding
chr6-6560,chr6,128298880,128299053,+,1,NA,"intron (NM_001135648: intron 26 of 30)","intron (NM_001135648: intron 26 of 30)",-59191,NM_001164687,387357,Hs.661756,XM_005266974,ENSG00000172673,THEMIS,C6orf190|C6orf207|GASP|SPOT|TSEPA|bA325O24.3|bA325O24.4,thymocyte selection associated,protein-coding
chr6-199,chr6,128491335,128491508,+,1,NA,"intron (NM_001135648: intron 7 of 30)","intron (NM_001135648: intron 7 of 30)",-251646,NM_001164687,387357,Hs.661756,XM_005266974,ENSG00000172673,THEMIS,C6orf190|C6orf207|GASP|SPOT|TSEPA|bA325O24.3|bA325O24.4,thymocyte selection associated,protein-coding
chr6-88,chr6,128422602,128422775,+,1,NA,"intron (NM_001135648: intron 7 of 30)",L2|LINE|L2,-182913,NM_001164687,387357,Hs.661756,XM_005266974,ENSG00000172673,THEMIS,C6orf190|C6orf207|GASP|SPOT|TSEPA|bA325O24.3|bA325O24.4,thymocyte selection associated,protein-coding
chr8-2948,chr8,40417803,40417976,+,1,NA,"intron (NM_001135731: intron 5 of 5)","intron (NM_001135731: intron 5 of 5)",337453,NM_024645,79698,Hs.591850,XM_005273643,ENSG00000165061,ZMAT4,-,"zinc finger: matrin-type 4",protein-coding
chr8-4339,chr8,95948201,95948374,+,1,NA,"intron (NM_001135733: intron 3 of 4)",MER21-int|LTR|ERVL,13327,NM_033285,94241,Hs.492261,NM_001135733,ENSG00000164938,TP53INP1,SIP|TP53DINP1|TP53INP1A|TP53INP1B|Teap|p53DINP1,tumor protein p53 inducible nuclear protein 1,protein-coding
chr2-3851,chr2,202634541,202634714,+,1,NA,"intron (NM_001135745: intron 1 of 3)","intron (NM_001135745: intron 1 of 3)",11267,NM_001135745,57679,Hs.621812,XM_005246709,ENSG00000003393,ALS2,ALS2CR6|ALSJ|IAHSP|PLSJ,amyotrophic lateral sclerosis 2 (juvenile),protein-coding
chr6-631,chr6,41981182,41981355,+,1,NA,"intron (NM_001136017: intron 1 of 4)","intron (NM_001136017: intron 1 of 4)",35363,NM_001136126,896,Hs.534307,XM_005249463,ENSG00000112576,CCND3,-,cyclin D3,protein-coding
chr21-56,chr21,27477521,27477694,+,1,NA,"intron (NM_001136129: intron 1 of 14)",HAL1b|LINE|L1,35100,NM_001136016,351,Hs.434980,NM_000484,ENSG00000142192,APP,AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2,amyloid beta (A4) precursor protein,protein-coding
chr8-539,chr8,67815800,67815973,+,1,NA,"intron (NM_001136160: intron 13 of 13)","intron (NM_001136160: intron 13 of 13)",18897,NR_002598,641648,,NR_002598,ENSG00000245910,SNORD87,HBII-276|U87,"small nucleolar RNA: C/D box 87",snoRNA
chr5-1256,chr5,122484169,122484342,+,1,NA,"intron (NM_001136239: intron 3 of 7)","intron (NM_001136239: intron 3 of 7)",59415,NM_001136239,93166,Hs.135118,XM_005272128,ENSG00000061455,PRDM6,-,PR domain containing 6,protein-coding
chr4-3535,chr4,108797042,108797215,+,1,NA,"intron (NM_001136258: intron 2 of 6)","intron (NM_001136258: intron 2 of 6)",-17291,NM_152621,166929,Hs.595423,XM_005262793,ENSG00000164023,SGMS2,SMS2,sphingomyelin synthase 2,protein-coding
chr1-3577,chr1,51576797,51576970,+,1,NA,"intron (NM_001136508: intron 1 of 4)","intron (NM_001136508: intron 1 of 4)",8978,NM_001136508,284546,Hs.176177,XM_005270771,ENSG00000204006,C1orf185,-,chromosome 1 open reading frame 185,protein-coding
chr2-3367,chr2,172087018,172087191,+,1,NA,"intron (NM_001136554: intron 1 of 20)",LTR26B|LTR|ERV1,719,NM_001136554,9874,Hs.744917,XM_005246980,ENSG00000198586,TLK1,PKU-beta,tousled-like kinase 1,protein-coding
chr2-1363,chr2,172025019,172025192,+,1,NA,"intron (NM_001136554: intron 1 of 20)","intron (NM_001136554: intron 1 of 20)",-7696,NM_012290,9874,Hs.744917,XM_005246980,ENSG00000198586,TLK1,PKU-beta,tousled-like kinase 1,protein-coding
chr12-2,chr12,110825014,110825187,+,1,NA,"intron (NM_001137664: intron 5 of 9)",(GA)n|Simple_repeat|Simple_repeat,16434,NM_001137664,51434,Hs.719935,XM_005253902,ENSG00000196510,ANAPC7,APC7,anaphase promoting complex subunit 7,protein-coding
chr1-5977,chr1,182509832,182510005,+,1,NA,"intron (NM_001137669: intron 15 of 21)","intron (NM_001137669: intron 15 of 21)",48475,NM_021133,6041,Hs.518545,XM_005245411,ENSG00000135828,RNASEL,PRCA1|RNS4,"ribonuclease L (2',5'-oligoisoadenylate synthetase-dependent)",protein-coding
chr2-9578,chr2,239294179,239294352,+,1,NA,"intron (NM_001139490: intron 13 of 14)",MER1B|DNA|hAT-Charlie,-41360,NM_001040445,51665,Hs.516788,XM_005246080,ENSG00000065802,ASB1,ASB-1,ankyrin repeat and SOCS box containing 1,protein-coding
chr2-9577,chr2,239242296,239242469,+,1,NA,"intron (NM_001139490: intron 6 of 14)","intron (NM_001139490: intron 6 of 14)",13198,NM_015650,26146,Hs.631898,XM_005246070,ENSG00000204104,TRAF3IP1,MIP-T3|MIPT3,TNF receptor-associated factor 3 interacting protein 1,protein-coding
chrX-113,chrX,138103120,138103293,+,1,NA,"intron (NM_001139501: intron 2 of 7)","intron (NM_001139501: intron 2 of 7)",-153490,NM_001139502,2258,Hs.6540,XM_005262399,ENSG00000129682,FGF13,FGF-13|FGF2|FHF-2|FHF2,fibroblast growth factor 13,protein-coding
chr10-1451,chr10,90729291,90729464,+,1,NA,"intron (NM_001141945: intron 1 of 8)",L2a|LINE|L2,-16798,NM_001613,59,Hs.500483,NM_001141945,ENSG00000107796,ACTA2,AAT6|ACTSA|MYMY5,"actin: alpha 2: smooth muscle: aorta",protein-coding
chr15-1178,chr15,43742716,43742889,+,1,NA,"intron (NM_001141980: intron 12 of 27)","intron (NM_001141980: intron 12 of 27)",42551,NM_001141980,7158,Hs.584887,XM_005254634,ENSG00000067369,TP53BP1,53BP1|p202,tumor protein p53 binding protein 1,protein-coding
chr15-1176,chr15,43731059,43731232,+,1,NA,"intron (NM_001141980: intron 15 of 27)",L1MC5|LINE|L1,54208,NM_001141980,7158,Hs.584887,XM_005254634,ENSG00000067369,TP53BP1,53BP1|p202,tumor protein p53 binding protein 1,protein-coding
chr11-4283,chr11,129979487,129979660,+,1,NA,"intron (NM_001142276: intron 2 of 16)","intron (NM_001142276: intron 2 of 16)",39111,NM_001243299,334,Hs.370247,NM_001142276,ENSG00000084234,APLP2,APLP-2|APPH|APPL2|CDEBP,amyloid beta (A4) precursor-like protein 2,protein-coding
chr13-1413,chr13,51488989,51489162,+,1,NA,"intron (NM_001142279: intron 1 of 9)","intron (NM_001142279: intron 1 of 9)",-4228,NR_046552,100874255,Hs.741501,NR_046552,ENSG00000233672,RNASEH2B-AS1,RP11-40A8.3,RNASEH2B antisense RNA 1,ncRNA
chr10-817,chr10,19445090,19445263,+,1,NA,"intron (NM_001142308: intron 12 of 39)","intron (NM_001142308: intron 12 of 39)",107477,NM_001142308,340895,Hs.646734,NM_001142308,,MALRD1,C10orf112|DIET1|bA265G8.2,MAM and LDL receptor class A domain containing 1,protein-coding
chr10-169,chr10,19462727,19462900,+,1,NA,"intron (NM_001142308: intron 13 of 39)","intron (NM_001142308: intron 13 of 39)",125114,NM_001142308,340895,Hs.646734,NM_001142308,,MALRD1,C10orf112|DIET1|bA265G8.2,MAM and LDL receptor class A domain containing 1,protein-coding
chr10-171,chr10,19846694,19846867,+,1,NA,"intron (NM_001142308: intron 32 of 39)",L1MC2|LINE|L1,-258591,NM_001282736,84898,Hs.733859,XM_005252629,ENSG00000120594,PLXDC2,TEM7R,plexin domain containing 2,protein-coding
chr16-495,chr16,6682766,6682939,+,1,NA,"intron (NM_001142333: intron 2 of 14)","intron (NM_001142333: intron 2 of 14)",-140957,NM_001142334,54715,Hs.459842,XM_005255378,ENSG00000078328,RBFOX1,2BP1|A2BP1|FOX-1|FOX1|HRNBP1,"RNA binding protein: fox-1 homolog (C. elegans) 1",protein-coding
chr16-496,chr16,7577666,7577839,+,1,NA,"intron (NM_001142334: intron 3 of 13)",MIRb|SINE|MIR,195002,NM_145893,54715,Hs.459842,XM_005255378,ENSG00000078328,RBFOX1,2BP1|A2BP1|FOX-1|FOX1|HRNBP1,"RNA binding protein: fox-1 homolog (C. elegans) 1",protein-coding
chr2-2622,chr2,107441670,107441843,+,1,NA,"intron (NM_001142352: intron 5 of 5)",MLT1F|LTR|ERVL-MaLR,60853,NM_001142351,84620,Hs.98265,NM_001142351,ENSG00000144057,ST6GAL2,SIAT2|ST6GalII,"ST6 beta-galactosamide alpha-2,6-sialyltranferase 2",protein-coding
chr4-1481,chr4,106609125,106609298,+,1,NA,"intron (NM_001142471: intron 5 of 6)",MIRb|SINE|MIR,20669,NM_001142471,57117,Hs.480454,XM_005263147,ENSG00000138785,INTS12,INT12|PHF22,integrator complex subunit 12,protein-coding
chr5-6515,chr5,111109553,111109726,+,1,NA,"intron (NM_001142474: intron 2 of 3)","intron (NM_001142474: intron 2 of 3)",-15725,NM_001142476,9315,Hs.745061,NM_001142474,ENSG00000134986,NREP,C5orf13|D4S114|P311|PRO1873|PTZ17|SEZ17,neuronal regeneration related protein,protein-coding
chr5-2866,chr5,111207271,111207444,+,1,NA,"intron (NM_001142474: intron 2 of 3)",Tigger3b|DNA|TcMar-Tigger,-40847,NR_046678,100873948,Hs.147716,NR_046678,ENSG00000250095,NREP-AS1,-,NREP antisense RNA 1,ncRNA
chr4-4373,chr4,155352668,155352841,+,1,NA,"intron (NM_001142552: intron 1 of 7)","intron (NM_001142552: intron 1 of 7)",-40306,NM_017639,54798,Hs.655664,NM_199348,ENSG00000197410,DCHS2,CDH27|CDHJ|CDHR7|PCDH23|PCDHJ,dachsous cadherin-related 2,protein-coding
chr4-9852,chr4,155363029,155363202,+,1,NA,"intron (NM_001142552: intron 1 of 7)","intron (NM_001142552: intron 1 of 7)",49761,NM_001142552,54798,Hs.655664,NM_199348,ENSG00000197410,DCHS2,CDH27|CDHJ|CDHR7|PCDH23|PCDHJ,dachsous cadherin-related 2,protein-coding
chr1-1433,chr1,41204145,41204318,+,1,NA,"intron (NM_001142590: intron 6 of 14)","intron (NM_001142590: intron 6 of 14)",-15795,NR_029846,407034,,NR_029846,,MIR30E,MIRN30E,microRNA 30e,ncRNA
chr2-918,chr2,63168587,63168760,+,1,NA,"intron (NM_001142616: intron 10 of 22)","intron (NM_001142616: intron 10 of 22)",106172,NR_027069,100132215,Hs.656781,NR_027069,ENSG00000231609,AC009501.4,-,uncharacterized LOC100132215,ncRNA
chr2-82,chr2,63129763,63129936,+,1,NA,"intron (NM_001142616: intron 10 of 22)","intron (NM_001142616: intron 10 of 22)",144996,NR_027069,100132215,Hs.656781,NR_027069,ENSG00000231609,AC009501.4,-,uncharacterized LOC100132215,ncRNA
chr2-917,chr2,63086637,63086810,+,1,NA,"intron (NM_001142616: intron 8 of 22)","intron (NM_001142616: intron 8 of 22)",152692,NM_001142614,23301,Hs.271667,XM_005264225,ENSG00000115504,EHBP1,HPC12|NACSIN,EH domain binding protein 1,protein-coding
chr17-1033,chr17,76067024,76067197,+,1,NA,"intron (NM_001142640: intron 6 of 21)","intron (NM_001142640: intron 6 of 21)",40769,NR_040071,100131096,Hs.635442,NR_040071,ENSG00000204282,TNRC6C-AS1,-,TNRC6C antisense RNA 1,ncRNA
chr11-92,chr11,85276213,85276386,+,1,NA,"intron (NM_001142699: intron 3 of 27)",L1ME1|LINE|L1,62014,NM_001142699,1740,Hs.367656,XM_005273805,ENSG00000150672,DLG2,PPP1R58|PSD-93|PSD93|chapsyn-110,"discs: large homolog 2 (Drosophila)",protein-coding
chr11-3266,chr11,85284522,85284695,+,1,NA,"intron (NM_001142699: intron 3 of 27)","intron (NM_001142699: intron 3 of 27)",53705,NM_001142699,1740,Hs.367656,XM_005273805,ENSG00000150672,DLG2,PPP1R58|PSD-93|PSD93|chapsyn-110,"discs: large homolog 2 (Drosophila)",protein-coding
chr11-2,chr11,85195024,85195197,+,1,NA,"intron (NM_001142699: intron 3 of 27)",LSU-rRNA_Hsa|rRNA|rRNA,143203,NM_001142699,1740,Hs.367656,XM_005273805,ENSG00000150672,DLG2,PPP1R58|PSD-93|PSD93|chapsyn-110,"discs: large homolog 2 (Drosophila)",protein-coding
chr11-1378,chr11,84945563,84945736,+,1,NA,"intron (NM_001142699: intron 4 of 27)","intron (NM_001142699: intron 4 of 27)",-311185,NM_001364,1740,Hs.367656,XM_005273805,ENSG00000150672,DLG2,PPP1R58|PSD-93|PSD93|chapsyn-110,"discs: large homolog 2 (Drosophila)",protein-coding
chr11-1368,chr11,84546141,84546314,+,1,NA,"intron (NM_001142699: intron 6 of 27)","intron (NM_001142699: intron 6 of 27)",88237,NM_001364,1740,Hs.367656,XM_005273805,ENSG00000150672,DLG2,PPP1R58|PSD-93|PSD93|chapsyn-110,"discs: large homolog 2 (Drosophila)",protein-coding
chr11-1369,chr11,84554160,84554333,+,1,NA,"intron (NM_001142699: intron 6 of 27)",L1MA10|LINE|L1,80218,NM_001364,1740,Hs.367656,XM_005273805,ENSG00000150672,DLG2,PPP1R58|PSD-93|PSD93|chapsyn-110,"discs: large homolog 2 (Drosophila)",protein-coding
chr11-1373,chr11,84674093,84674266,+,1,NA,"intron (NM_001142699: intron 6 of 27)","intron (NM_001142699: intron 6 of 27)",-39715,NM_001364,1740,Hs.367656,XM_005273805,ENSG00000150672,DLG2,PPP1R58|PSD-93|PSD93|chapsyn-110,"discs: large homolog 2 (Drosophila)",protein-coding
chr11-563,chr11,84735009,84735182,+,1,NA,"intron (NM_001142699: intron 6 of 27)","intron (NM_001142699: intron 6 of 27)",-100631,NM_001364,1740,Hs.367656,XM_005273805,ENSG00000150672,DLG2,PPP1R58|PSD-93|PSD93|chapsyn-110,"discs: large homolog 2 (Drosophila)",protein-coding
chr11-558,chr11,84216161,84216334,+,1,NA,"intron (NM_001142699: intron 7 of 27)","intron (NM_001142699: intron 7 of 27)",-187866,NM_001206769,1740,Hs.367656,XM_005273805,ENSG00000150672,DLG2,PPP1R58|PSD-93|PSD93|chapsyn-110,"discs: large homolog 2 (Drosophila)",protein-coding
chr11-557,chr11,84011792,84011965,+,1,NA,"intron (NM_001142699: intron 7 of 27)",L1ME4a|LINE|L1,16503,NM_001206769,1740,Hs.367656,XM_005273805,ENSG00000150672,DLG2,PPP1R58|PSD-93|PSD93|chapsyn-110,"discs: large homolog 2 (Drosophila)",protein-coding
chr11-556,chr11,83913270,83913443,+,1,NA,"intron (NM_001142700: intron 1 of 19)",L1PA11|LINE|L1,70966,NM_001142700,1740,Hs.367656,XM_005273805,ENSG00000150672,DLG2,PPP1R58|PSD-93|PSD93|chapsyn-110,"discs: large homolog 2 (Drosophila)",protein-coding
chr11-1364,chr11,83919822,83919995,+,1,NA,"intron (NM_001142700: intron 1 of 19)",L1MD3|LINE|L1,64414,NM_001142700,1740,Hs.367656,XM_005273805,ENSG00000150672,DLG2,PPP1R58|PSD-93|PSD93|chapsyn-110,"discs: large homolog 2 (Drosophila)",protein-coding
chr7-1887,chr7,86606063,86606236,+,1,NA,"intron (NM_001142749: intron 1 of 21)",L1MEf|LINE|L1,-10859,NM_152748,222223,Hs.208093,NM_001142749,ENSG00000164659,KIAA1324L,EIG121L,KIAA1324-like,protein-coding
chr10-1085,chr10,56501647,56501820,+,1,NA,"intron (NM_001142770: intron 1 of 34)",MLT1D|LTR|ERVL-MaLR,59317,NM_001142765,65217,Hs.280209,XM_005270056,ENSG00000150275,PCDH15,CDHR15|DFNB23|USH1F,protocadherin-related 15,protein-coding
chr10-212,chr10,56529790,56529963,+,1,NA,"intron (NM_001142770: intron 1 of 34)",MER3|DNA|hAT-Charlie,31174,NM_001142765,65217,Hs.280209,XM_005270056,ENSG00000150275,PCDH15,CDHR15|DFNB23|USH1F,protocadherin-related 15,protein-coding
chr10-1088,chr10,56546286,56546459,+,1,NA,"intron (NM_001142770: intron 1 of 34)",L2c|LINE|L2,14678,NM_001142765,65217,Hs.280209,XM_005270056,ENSG00000150275,PCDH15,CDHR15|DFNB23|USH1F,protocadherin-related 15,protein-coding
chr10-2471,chr10,55822977,55823150,+,1,NA,"intron (NM_001142770: intron 18 of 34)","intron (NM_001142770: intron 18 of 34)",737987,NM_001142765,65217,Hs.280209,XM_005270056,ENSG00000150275,PCDH15,CDHR15|DFNB23|USH1F,protocadherin-related 15,protein-coding
chr10-2469,chr10,55760624,55760797,+,1,NA,"intron (NM_001142770: intron 20 of 34)",L1MA3|LINE|L1,800340,NM_001142765,65217,Hs.280209,XM_005270056,ENSG00000150275,PCDH15,CDHR15|DFNB23|USH1F,protocadherin-related 15,protein-coding
chr10-121,chr10,55716684,55716857,+,1,NA,"intron (NM_001142770: intron 23 of 34)","intron (NM_001142770: intron 23 of 34)",844280,NM_001142765,65217,Hs.280209,XM_005270056,ENSG00000150275,PCDH15,CDHR15|DFNB23|USH1F,protocadherin-related 15,protein-coding
chr10-468,chr10,55638057,55638230,+,1,NA,"intron (NM_001142770: intron 26 of 34)",(TA)n|Simple_repeat|Simple_repeat,922907,NM_001142765,65217,Hs.280209,XM_005270056,ENSG00000150275,PCDH15,CDHR15|DFNB23|USH1F,protocadherin-related 15,protein-coding
chr10-471,chr10,56030270,56030443,+,1,NA,"intron (NM_001142770: intron 8 of 34)","intron (NM_001142770: intron 8 of 34)",530694,NM_001142765,65217,Hs.280209,XM_005270056,ENSG00000150275,PCDH15,CDHR15|DFNB23|USH1F,protocadherin-related 15,protein-coding
chr6-315,chr6,66367971,66368144,+,1,NA,"intron (NM_001142800: intron 1 of 42)",Tigger1|DNA|TcMar-Tigger,49060,NM_001142801,346007,Hs.25067,NM_001142800,ENSG00000188107,EYS,C6orf178|C6orf179|C6orf180|EGFL10|EGFL11|RP25|SPAM|bA166P24.2|bA307F22.3|bA74E24.1|dJ1018A4.2|dJ22I17.2|dJ303F19.1,eyes shut homolog (Drosophila),protein-coding
chr6-1811,chr6,66006422,66006595,+,1,NA,"intron (NM_001142800: intron 11 of 42)","intron (NM_001142800: intron 11 of 42)",-4802,NM_001271675,441155,Hs.546686,NM_001271675,,LOC441155,-,zinc finger CCCH-type domain-containing-like,protein-coding
chr6-4438,chr6,65919982,65920155,+,1,NA,"intron (NM_001142800: intron 12 of 42)","intron (NM_001142800: intron 12 of 42)",-91242,NM_001271675,441155,Hs.546686,NM_001271675,,LOC441155,-,zinc finger CCCH-type domain-containing-like,protein-coding
chr6-1807,chr6,65852831,65853004,+,1,NA,"intron (NM_001142800: intron 12 of 42)",L1ME2z|LINE|L1,-158393,NM_001271675,441155,Hs.546686,NM_001271675,,LOC441155,-,zinc finger CCCH-type domain-containing-like,protein-coding
chr6-1805,chr6,65664200,65664373,+,1,NA,"intron (NM_001142800: intron 14 of 42)","intron (NM_001142800: intron 14 of 42)",-347024,NM_001271675,441155,Hs.546686,NM_001271675,,LOC441155,-,zinc finger CCCH-type domain-containing-like,protein-coding
chr6-1815,chr6,66298020,66298193,+,1,NA,"intron (NM_001142800: intron 2 of 42)","intron (NM_001142800: intron 2 of 42)",-8410,NM_198283,346007,Hs.25067,NM_001142800,ENSG00000188107,EYS,C6orf178|C6orf179|C6orf180|EGFL10|EGFL11|RP25|SPAM|bA166P24.2|bA307F22.3|bA74E24.1|dJ1018A4.2|dJ22I17.2|dJ303F19.1,eyes shut homolog (Drosophila),protein-coding
chr6-314,chr6,65529135,65529308,+,1,NA,"intron (NM_001142800: intron 21 of 42)","intron (NM_001142800: intron 21 of 42)",-482089,NM_001271675,441155,Hs.546686,NM_001271675,,LOC441155,-,zinc finger CCCH-type domain-containing-like,protein-coding
chr6-1804,chr6,65385726,65385899,+,1,NA,"intron (NM_001142800: intron 22 of 42)","intron (NM_001142800: intron 22 of 42)",-625498,NM_001271675,441155,Hs.546686,NM_001271675,,LOC441155,-,zinc finger CCCH-type domain-containing-like,protein-coding
chr6-4426,chr6,65465106,65465279,+,1,NA,"intron (NM_001142800: intron 22 of 42)",L1PA15-16|LINE|L1,-546118,NM_001271675,441155,Hs.546686,NM_001271675,,LOC441155,-,zinc finger CCCH-type domain-containing-like,protein-coding
chr6-4421,chr6,65215590,65215763,+,1,NA,"intron (NM_001142800: intron 26 of 42)","intron (NM_001142800: intron 26 of 42)",-795634,NM_001271675,441155,Hs.546686,NM_001271675,,LOC441155,-,zinc finger CCCH-type domain-containing-like,protein-coding
chr6-4418,chr6,65031533,65031706,+,1,NA,"intron (NM_001142800: intron 29 of 42)","intron (NM_001142800: intron 29 of 42)",675189,NM_015153,23469,Hs.348921,XM_005248701,ENSG00000118482,PHF3,-,PHD finger protein 3,protein-coding
chr6-4413,chr6,64641091,64641264,+,1,NA,"intron (NM_001142800: intron 35 of 42)","intron (NM_001142800: intron 35 of 42)",284747,NM_015153,23469,Hs.348921,XM_005248701,ENSG00000118482,PHF3,-,PHD finger protein 3,protein-coding
chr6-1814,chr6,66184414,66184587,+,1,NA,"intron (NM_001142800: intron 5 of 42)",MLT1G1|LTR|ERVL-MaLR,105196,NM_198283,346007,Hs.25067,NM_001142800,ENSG00000188107,EYS,C6orf178|C6orf179|C6orf180|EGFL10|EGFL11|RP25|SPAM|bA166P24.2|bA307F22.3|bA74E24.1|dJ1018A4.2|dJ22I17.2|dJ303F19.1,eyes shut homolog (Drosophila),protein-coding
chr6-1813,chr6,66152773,66152946,+,1,NA,"intron (NM_001142800: intron 5 of 42)",(TA)n|Simple_repeat|Simple_repeat,136837,NM_198283,346007,Hs.25067,NM_001142800,ENSG00000188107,EYS,C6orf178|C6orf179|C6orf180|EGFL10|EGFL11|RP25|SPAM|bA166P24.2|bA307F22.3|bA74E24.1|dJ1018A4.2|dJ22I17.2|dJ303F19.1,eyes shut homolog (Drosophila),protein-coding
chr2-1054,chr2,111641346,111641519,+,1,NA,"intron (NM_001142807: intron 10 of 17)",L1MC|LINE|L1,151283,NM_001142807,55289,Hs.253320,NM_001105516,ENSG00000153093,ACOXL,-,acyl-CoA oxidase-like,protein-coding
chr2-405,chr2,111668573,111668746,+,1,NA,"intron (NM_001142807: intron 11 of 17)",L1MB7|LINE|L1,178510,NM_001142807,55289,Hs.253320,NM_001105516,ENSG00000153093,ACOXL,-,acyl-CoA oxidase-like,protein-coding
chr11-1216,chr11,43338962,43339135,+,1,NA,"intron (NM_001142931: intron 1 of 12)","intron (NM_001142931: intron 1 of 12)",5544,NM_006595,8539,Hs.435771,NM_001142930,ENSG00000166181,API5,AAC-11|AAC11,apoptosis inhibitor 5,protein-coding
chr18-1567,chr18,18903625,18903798,+,1,NA,"intron (NM_001142966: intron 1 of 32)","intron (NM_001142966: intron 1 of 32)",81509,NM_001142966,80000,Hs.149020,XM_005258343,ENSG00000141449,GREB1L,C18orf6|KIAA1772,growth regulation by estrogen in breast cancer-like,protein-coding
chr18-241,chr18,18835489,18835662,+,1,NA,"intron (NM_001142966: intron 1 of 32)","intron (NM_001142966: intron 1 of 32)",13373,NM_001142966,80000,Hs.149020,XM_005258343,ENSG00000141449,GREB1L,C18orf6|KIAA1772,growth regulation by estrogen in breast cancer-like,protein-coding
chr18-1570,chr18,19028202,19028375,+,1,NA,"intron (NM_001142966: intron 11 of 32)","intron (NM_001142966: intron 11 of 32)",152404,NM_052911,114799,Hs.464733,XR_243845,ENSG00000141446,ESCO1,A930014I12Rik|CTF|ECO1|EFO1|ESO1,establishment of sister chromatid cohesion N-acetyltransferase 1,protein-coding
chr1-53,chr1,167891286,167891459,+,1,NA,"intron (NM_001143674: intron 3 of 5)","intron (NM_001143674: intron 3 of 5)",-7920,NM_018417,55811,Hs.320892,XM_005245329,ENSG00000143199,ADCY10,HCA2|RP1-313L4.2|SAC|SACI|Sacy,adenylate cyclase 10 (soluble),protein-coding
chr10-231,chr10,60942779,60942952,+,1,NA,"intron (NM_001143774: intron 1 of 4)","intron (NM_001143774: intron 1 of 4)",5639,NM_001143774,84457,Hs.499704,XM_005270226,ENSG00000165443,PHYHIPL,-,phytanoyl-CoA 2-hydroxylase interacting protein-like,protein-coding
chr10-1178,chr10,60949508,60949681,+,1,NA,"intron (NM_001143774: intron 1 of 4)",L2c|LINE|L2,12368,NM_001143774,84457,Hs.499704,XM_005270226,ENSG00000165443,PHYHIPL,-,phytanoyl-CoA 2-hydroxylase interacting protein-like,protein-coding
chr10-232,chr10,60951148,60951321,+,1,NA,"intron (NM_001143774: intron 1 of 4)","intron (NM_001143774: intron 1 of 4)",14008,NM_001143774,84457,Hs.499704,XM_005270226,ENSG00000165443,PHYHIPL,-,phytanoyl-CoA 2-hydroxylase interacting protein-like,protein-coding
chr12-1250,chr12,42775481,42775654,+,1,NA,"intron (NM_001143788: intron 5 of 8)",L3|LINE|CR1,55621,NM_201439,51535,Hs.444157,XM_005268962,ENSG00000134283,PPHLN1,HSPC232,periphilin 1,protein-coding
chr11-1433,chr11,88265989,88266162,+,1,NA,"intron (NM_001143831: intron 7 of 8)",L2a|LINE|L2,28332,NR_049724,100873989,Hs.616625,NR_049724,ENSG00000255082,GRM5-AS1,RP11-657K20.2,GRM5 antisense RNA 1,ncRNA
chr11-97,chr11,89258607,89258780,+,1,NA,"intron (NM_001143837: intron 2 of 20)",L1ME2|LINE|L1,-34041,NM_016931,50507,Hs.371036,NM_001143836,ENSG00000086991,NOX4,KOX|KOX-1|RENOX,NADPH oxidase 4,protein-coding
chr6-3303,chr6,4863073,4863246,+,1,NA,"intron (NM_001143970: intron 1 of 6)",L1PA17|LINE|L1,26828,NM_001143970,9425,Hs.269092,NM_001143970,ENSG00000153046,CDYL,CDYL1,"chromodomain protein: Y-like",protein-coding
chr10-282,chr10,97433609,97433782,+,1,NA,"intron (NM_001143973: intron 9 of 9)",L1ME2|LINE|L1,-17129,NM_002860,5832,Hs.500645,XM_005270011,ENSG00000059573,ALDH18A1,ARCL3A|GSAS|P5CS|PYCS,"aldehyde dehydrogenase 18 family: member A1",protein-coding
